county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Bell,23122,56395,9292,20085,23362,1490,2166,"$6,345,644",$274.44,October,2018,$351.59
Blanco,245,530,88,170,203,21,48,"$56,797",$231.82,October,2018,$296.99
Burnet,1746,4095,666,1430,1539,143,317,"$426,336",$244.18,October,2018,$312.82
Caldwell,2512,6284,1086,2436,2203,185,374,"$696,864",$277.41,October,2018,$355.40
Coryell,3580,8656,1402,2915,3718,239,382,"$952,542",$266.07,October,2018,$340.87
Falls,1380,2852,419,880,1176,138,239,"$300,389",$217.67,October,2018,$278.86
Fayette,829,1862,296,652,696,63,155,"$198,000",$238.84,October,2018,$305.98
Freestone,1105,2414,362,793,973,96,190,"$266,750",$241.40,October,2018,$309.26
Gillespie,589,1455,230,546,521,41,117,"$147,177",$249.88,October,2018,$320.13
Hays,6098,14879,2487,5604,5673,363,752,"$1,648,340",$270.31,October,2018,$346.30
Lampasas,1081,2480,330,820,1079,96,155,"$272,176",$251.78,October,2018,$322.56
Lee,800,1877,329,685,701,57,105,"$200,367",$250.46,October,2018,$320.87
Limestone,1693,3798,537,1357,1524,123,257,"$411,253",$242.91,October,2018,$311.20
Llano,891,1912,306,557,762,105,182,"$198,084",$222.32,October,2018,$284.82
McLennan,16185,36996,6266,12874,14792,1218,1846,"$4,065,956",$251.22,October,2018,$321.84
Milam,1862,4197,607,1409,1670,186,325,"$458,983",$246.50,October,2018,$315.80
Mills,182,410,56,121,180,18,35,"$42,273",$232.27,October,2018,$297.57
San Saba,352,753,95,244,309,40,65,"$82,540",$234.49,October,2018,$300.41
Travis,44979,98383,17039,37721,34915,2929,5779,"$11,685,441",$259.80,October,2018,$332.83
Williamson,11548,28286,4622,10711,10469,670,1814,"$3,126,612",$270.75,October,2018,$346.86
Bastrop,4488,10732,1820,4265,3746,330,571,"$1,225,959",$273.16,November,2018,$351.13
Bell,22950,55876,9186,19913,23112,1490,2175,"$6,299,993",$274.51,November,2018,$352.86
Blanco,248,534,84,172,208,20,50,"$54,922",$221.46,November,2018,$284.67
Burnet,1698,3960,642,1385,1476,143,314,"$413,444",$243.49,November,2018,$312.99
Caldwell,2491,6221,1056,2410,2193,187,375,"$692,475",$277.99,November,2018,$357.34
Coryell,3528,8519,1386,2848,3654,243,388,"$923,059",$261.64,November,2018,$336.32
Falls,1381,2873,423,892,1179,129,250,"$300,150",$217.34,November,2018,$279.37
Fayette,822,1837,280,652,687,65,153,"$194,432",$236.54,November,2018,$304.05
Freestone,1089,2411,366,806,962,92,185,"$267,144",$245.31,November,2018,$315.33
Gillespie,580,1416,228,528,499,44,117,"$142,058",$244.93,November,2018,$314.84
