county,census_tract,population_size,food_insecure_population_percent,food_insecure_population
Travis,6.07,3038,0.2319477538,704.6572760444
Travis,6.08,3627,0.2944127318,1067.8349782386
Travis,7,1321,0.1656917054,218.8787428334
Travis,8.01,2000,0.1712124728,342.4249456
Travis,8.02,3912,0.276599585,1082.05757652
Travis,8.03,3300,0.1503814911,496.25892063
Travis,8.04,2607,0.281254395,733.230207765
Travis,9.01,3171,0.1664684984,527.8716084264
Travis,9.02,6016,0.2190210883,1317.6308672128
Travis,10,3291,0.1639085219,539.4229455729
Travis,11.01,1755,0.2555785478,448.540351389
Travis,11.02,3571,0.1110172896,396.4427411616
Travis,11.03,3522,0.1315415738,463.2894229236
Travis,12,6842,0.1265091049,865.5752957258
Travis,13.04,3966,0.1116016921,442.6123108686
Travis,13.07,5081,0.2072871566,1053.2260426846
Travis,13.08,3191,0.1454790136,464.2235323976
Travis,13.09,2897,0.1020440781,295.6216942557
Travis,13.1,3908,0.1706664818,666.9646108744
Travis,13.11,1379,0.1662289315,229.2296965385
Travis,13.12,4732,0.1593188273,753.8966907836
Travis,14.01,2597,0.1253358663,325.4972447811
Travis,14.02,2200,0.1133438894,249.35655668
Travis,14.03,1477,0.1679782931,248.1039389087
Travis,15.01,5799,0.0857841765,497.4624395235
Travis,15.03,5214,0.1767409827,921.5274837978
Travis,15.04,6729,0.1275631236,858.3722587044
Travis,15.05,4702,0.1217335604,572.3912010008
Travis,16.02,2892,0.1371244278,396.5638451976
Travis,16.03,4390,0.0834128827,366.182555053
Travis,16.04,4111,0.0742848998,305.3852230778
Travis,16.05,4712,0.1159754649,546.4763906088
Travis,16.06,86,0.3366241156,28.9496739416
Travis,19.1,4753,0.1097178562,521.4889705186
Travis,19.11,3018,0.1570191626,473.8838327268
Travis,19.12,4324,0.1028427584,444.6920873216
Travis,19.13,4937,0.0661795091,326.7282364267
Travis,19.14,5926,0.1082910648,641.7328500048
Travis,19.15,3154,0.1646006453,519.1504352762
Travis,19.16,3135,0.0772046502,242.036578377
Travis,19.17,4440,0.0767187693,340.631335692
Travis,19.18,2650,0.0824894347,218.597001955
Travis,19.19,3799,0.0869608591,330.3643037209
Travis,19.2,6857,0.1748946182,1199.2523969974
Travis,19.21,3693,0.0775220432,286.2889055376
Travis,19.22,2123,0.1438976097,305.4946253931
Travis,19.23,3422,0.124679537,426.653375614
Travis,20.02,2793,0.1068815254,298.5201004422
Travis,20.03,3576,0.1948415092,696.7532368992
Travis,20.04,3011,0.2012136493,605.8542980423
Travis,20.06,2363,0.2145340801,506.9440312763
Travis,20.07,2504,0.1376463069,344.6663524776
Travis,21.04,2589,0.1340514513,347.0592074157
Travis,21.05,4818,0.2777554032,1338.2255326176
Travis,21.06,3012,0.1253509916,377.5571866992
Travis,21.07,4884,0.1790548011,874.5036485724
Travis,21.08,4251,0.2322202408,987.1682436408
Travis,21.09,4121,0.1771714195,730.1234197595
Travis,21.1,4037,0.2549860222,1029.3785716214
Travis,21.11,4835,0.1963306589,949.2587357815
Travis,21.12,6244,0.2740080729,1710.9064071876
Travis,21.13,3564,0.156283963,556.996044132
Travis,22.01,2720,0.2677775168,728.354845696
Travis,22.11,4700,0.1759809734,827.11057498
Travis,22.13,4776,0.1922231674,918.0578475024
Travis,22.14,3986,0.1723955896,687.1688201456
Travis,22.15,3646,0.1919044407,699.6835907922
Travis,22.16,9411,0.1557856116,1466.0983907676
Travis,22.17,6160,0.1524362283,939.007166328
Travis,22.18,5019,0.1696738789,851.5931981991
Travis,22.19,6591,0.1786066313,1177.1963068983
Travis,22.2,3342,0.3306199138,1104.9317519196
Travis,22.21,2167,0.223347747,483.994567749
Travis,22.22,3138,0.2432987265,763.471403757
Travis,23.04,3850,0.1781914479,686.037074415
Travis,23.07,4844,0.2144323585,1038.710344574
Travis,23.1,2858,0.2014048982,575.6151990556
Travis,23.13,3730,0.2645512414,986.776130422
Travis,23.14,5527,0.2298460232,1270.3589702264
Travis,23.15,2622,0.2214322953,580.5954782766
Travis,23.16,4563,0.2507640049,1144.2361543587
Travis,23.19,2340,0.4193997419,981.395396046
Travis,23.2,3987,0.2200396081,877.2979174947
Travis,23.21,3837,0.2081075542,798.5086854654
Travis,23.22,2254,0.1965910032,443.1161212128
Travis,23.23,4569,0.2561504525,1170.3514174725
Travis,23.24,1247,0.2323008802,289.6791976094
Travis,23.25,4085,0.2809721025,1147.7710387125
Travis,23.26,903,0.211500734,190.985162802
Travis,23.27,4874,0.3132442539,1526.7524935086
Travis,24.03,2353,0.1565962789,368.4710442517
Travis,24.07,8665,0.1474831162,1277.941201873
Travis,24.09,3360,0.1538633094,516.980719584
Travis,24.1,3816,0.1873622043,714.9741716088
Travis,24.11,5796,0.2988947663,1732.3940654748
Travis,24.12,5173,0.2265118128,1171.7456076144
Travis,24.13,3366,0.3304500767,1112.2949581722
Travis,24.19,3927,0.2536699422,996.1618630194
Travis,24.22,8141,0.1540686543,1254.2729146563
Travis,24.23,6261,0.1348083117,844.0348395537
Travis,24.24,3548,0.2033507173,721.4883449804
Travis,24.3,1962,0.1406838982,276.0218082684
Travis,24.32,5153,0.1620274772,834.9275900116
Travis,24.34,1997,0.1699717048,339.4334944856
Travis,24.36,2727,0.1857219287,506.4636995649
Travis,24.37,4899,0.1576221514,772.1909197086
Travis,24.38,7026,0.1651944636,1160.6563012536
Travis,24.39,2876,0.1299717872,373.7988599872
Travis,24.4,6544,0.1911389235,1250.813115384
Travis,24.41,5581,0.202588898,1130.648639738
Travis,24.42,2935,0.1736417237,509.6384590595
Travis,24.43,4050,0.202719599,821.01437595
Travis,24.44,4230,0.1776633992,751.516178616
Travis,24.45,7136,0.1706583852,1217.8182367872
Travis,24.46,1623,0.1142299392,185.3951913216
Travis,24.47,3288,0.1804497421,593.3187520248
Travis,24.48,7782,0.1581794273,1230.9523032486
Travis,24.49,7203,0.1865053055,1343.3977155165
Travis,24.5,3877,0.1857097889,719.9968515653
Travis,24.51,7535,0.1702342222,1282.714864277
Travis,24.52,3098,0.1647209045,510.305362141
Travis,24.53,5475,0.1587774781,869.3066925975
Travis,25,6052,0.1536908045,930.136748834
Travis,300,4279,0.0862110025,368.8968796975
Travis,301,3494,0.1273228963,444.8661996722
Travis,302,5039,0.1205438361,607.4203901079
Travis,303,4298,0.1517296903,652.1342089094
Travis,304,4451,0.1288064085,573.3173242335
Travis,305,6951,0.1167803239,811.7400314289
Travis,306,5820,0.1283277038,746.867236116
Travis,307,4028,0.0816185966,328.7597071048
Travis,308,4429,0.1513699877,670.4176755233
Travis,309,7581,0.1520661062,1152.8131511022
Travis,310,4342,0.1112649156,483.1122635352
Travis,311,5101,0.1108704087,565.5499547787
Travis,312,6548,0.0904615057,592.3419393236
Travis,313,3918,0.1241117454,486.2698184772
Travis,314,4387,0.1152776459,505.7230325633
Travis,315,7204,0.1168862172,842.0483087088
Travis,316,2237,0.1209393792,270.5413912704
Travis,317,4729,0.1658166514,784.1469444706
Travis,318,4499,0.1920177885,863.8880304615
Travis,319,5231,0.1078843824,564.3432043344
Travis,320,6303,0.1481714818,933.9248497854
Travis,321,5181,0.1558083557,807.2430908817
Travis,322,2047,0.0789033264,161.5151091408
Travis,323,4160,0.1888510049,785.620180384
Travis,324,1537,0.170953363,262.755318931
Travis,325,4638,0.1316467402,610.5775810476
Travis,326,6080,0.076215432,463.38982656
Travis,327,4430,0.0943118408,417.801454744
Travis,328,2738,0.1256546037,344.0423049306
Travis,329,8143,0.0999159794,813.6158202542
Travis,330,7097,0.1323904859,939.5752784323
Travis,331,4853,0.0799861061,388.1725729033
Travis,332,5256,0.1193229734,627.1615481904
Travis,333,9180,0.0888927097,816.035075046
Travis,334,3300,0.1322607893,436.46060469
Travis,335,5532,0.115796459,640.586011188
Travis,336,4217,0.0915989318,386.2726954006
Travis,337,2855,0.0894439724,255.362541202
Travis,338,4479,0.0847004276,379.3732152204
Travis,339,5626,0.0853408026,480.1273554276
Travis,340,6908,0.1134769537,783.8987961596
Travis,341,6570,0.1808585529,1188.240692553
Travis,342,6097,0.1630802559,994.3003202223
Travis,343,4205,0.0681871155,286.7268206775
Travis,344,2370,0.1592341476,377.384929812
Travis,345,2430,0.0868425028,211.027281804
Travis,346,3905,0.1448503944,565.640790132
Travis,347,5191,0.0924888049,480.1093862359
Travis,348,5020,0.0904186877,453.901812254
Travis,349,8788,0.0662901357,582.5577125316
Travis,350,7225,0.1173942212,848.17324817
Travis,351,3789,0.0742044012,281.1604761468
Travis,352,3768,0.1096045956,412.9901162208
Travis,353,1603,0.1029887357,165.0909433271
Travis,354,5327,0.0739267535,393.8078158945
Travis,355,4023,0.0572353257,230.2577152911
Travis,356,2035,0.1005674073,204.6546738555
Travis,357,4591,0.0765479954,351.4318468814
Travis,358,3907,0.1402435685,547.9316221295
Travis,359,2456,0.1008006823,247.5664757288
Travis,360,2053,0.0698993699,143.5034064047
Travis,361,5375,0.0736283477,395.7523688875
Travis,362,2026,0.0678205726,137.4044800876
Travis,363,1747,0.2197659321,383.9310833787
Travis,364,2741,0.0824660971,226.0395721511
Travis,365,6888,0.0720300496,496.1429816448
Travis,366,9152,0.08518676,779.62922752
Travis,367,7370,0.0803916685,592.486596845
Travis,368,4119,0.0718335128,295.8822392232
Travis,369,4204,0.0762904624,320.7251039296
Travis,370,5642,0.1336632834,754.1282449428
Travis,371,2527,0.0925301099,233.8235877173
Travis,372,6481,0.1076064859,697.3976351179
Travis,373,3174,0.122311177,388.215675798
Travis,374,4134,0.1272202398,525.9284713332
Travis,375,1555,0.1089131449,169.3599403195
Travis,376,3863,0.0895622897,345.9791251111
Travis,400,5994,0.2595871054,1555.9651097676
Travis,401,4505,0.2669874418,1202.778425309
Travis,402,3258,0.2789223819,908.7291202302
Travis,403,6670,0.2968795968,1980.186910656
Travis,404,3716,0.1460877614,542.8621213624
