county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
KNOX,3130,7097,1049,2332,3069,212,435,3831,262,21,19,4,5,2955,5600,926,571,"$781,045",$250,January,2018
LAMAR,216,553,69,216,217,17,34,299,67,1,1,0,0,185,253,234,66,"$55,880",$259,January,2018
LAMB,3935,8276,1288,2579,3473,348,588,4343,2057,83,14,13,103,1663,682,6522,1072,"$868,771",$221,January,2018
LAMPASAS,1007,2476,359,911,942,76,188,1402,167,8,1,11,8,879,1683,548,245,"$253,673",$252,January,2018
LA SALLE,1102,2553,359,838,1126,83,147,1694,105,13,19,27,22,673,672,1510,371,"$266,918",$242,January,2018
LAVACA,581,1394,206,508,487,35,158,716,12,4,2,9,1,650,1178,96,120,"$139,867",$241,January,2018
LEE,979,2314,383,822,895,74,140,1324,358,10,8,3,38,573,844,1187,283,"$246,119",$251,January,2018
LEON,881,2102,351,789,790,57,115,1022,364,14,8,2,18,674,779,1025,298,"$226,241",$257,January,2018
LIBERTY,1020,2215,360,722,859,109,165,1313,298,7,9,1,17,570,362,1493,360,"$241,483",$237,January,2018
LIMESTONE,6167,14328,2450,5308,5359,479,732,8532,1781,33,37,9,51,3885,3943,8763,1622,"$1,632,364",$265,January,2018
LIPSCOMB,1727,3974,616,1390,1607,103,258,1849,946,15,12,0,38,1114,953,2483,538,"$410,670",$238,January,2018
LIVE OAK,84,225,34,99,74,6,12,142,2,7,1,0,2,71,104,91,30,"$23,614",$281,January,2018
LLANO,677,1603,246,519,684,39,115,1098,23,7,2,3,4,466,979,477,147,"$177,741",$263,January,2018
LOVING,930,1981,299,576,810,106,190,1441,49,7,5,1,16,462,366,1320,295,"$203,222",$219,January,2018
LUBBOCK,3,9,2,3,4,0,0,8,0,0,0,0,0,1,1,8,0,"$1,209",$403,January,2018
LYNN,17702,42099,6727,14783,17220,1321,2048,18553,6670,167,173,68,184,16284,22382,15257,4460,"$4,544,281",$257,January,2018
MCCULLOCH,361,923,128,346,350,31,68,418,34,0,2,6,5,458,650,162,111,"$91,342",$253,January,2018
MCLENNAN,539,1138,148,357,420,71,142,783,23,8,0,8,4,312,420,569,149,"$107,283",$199,January,2018
MCMULLEN,16775,38380,6486,13411,15414,1216,1853,14846,10612,139,182,50,279,12272,11668,21501,5211,"$4,163,842",$248,January,2018
MADISON,23,46,4,14,23,0,5,38,0,0,0,0,0,8,21,20,5,"$4,943",$215,January,2018
MARION,874,1999,345,710,742,75,127,823,576,4,6,1,11,578,393,1299,307,"$210,822",$241,January,2018
MARTIN,1095,2185,260,643,949,133,200,1119,615,12,8,6,11,414,70,1830,285,"$238,525",$218,January,2018
MASON,219,592,111,227,205,15,34,364,25,3,1,2,4,193,406,128,58,"$66,408",$303,January,2018
MATAGORDA,122,269,41,87,96,11,34,199,2,0,1,1,0,66,127,105,37,"$24,852",$204,January,2018
MAVERICK,2617,6132,1041,2241,2234,206,410,2544,1094,18,60,10,20,2386,2767,2591,774,"$688,389",$263,January,2018
MEDINA,6784,16883,2443,5699,5661,521,2559,7652,61,212,68,51,11,8828,15073,447,1363,"$1,721,469",$254,January,2018
MENARD,2662,6419,940,2212,2605,189,473,4089,81,18,24,22,16,2169,4340,1450,629,"$684,717",$257,January,2018
MIDLAND,101,230,31,74,83,13,29,170,7,1,0,0,1,51,108,92,30,"$19,878",$197,January,2018
MILAM,5324,13723,2862,5020,4818,312,711,7754,1940,61,237,19,60,3652,7692,4741,1290,"$1,544,240",$290,January,2018
MILLS,2008,4523,649,1545,1829,187,313,2501,763,13,9,10,34,1193,1520,2394,609,"$493,999",$246,January,2018
