county,census_tract,population,food_insecure_population_percent,food_insecure_population
McLennan,13,2713,0.2375237355,644.4018944115
McLennan,14.01,2697,0.3932047595,1060.4732363715
McLennan,14.02,4915,0.3988265385,1960.2324367275
McLennan,15,2283,0.3556237357,811.8889886031
McLennan,16,6613,0.2650376666,1752.6940892258
McLennan,17,6379,0.2201525364,1404.3530296956
McLennan,18,2889,0.2169726532,626.8339950948
McLennan,19,6095,0.3106426343,1893.3668560585
McLennan,20,4486,0.1780854375,798.891272625
McLennan,21,6055,0.2820920699,1708.0674832445
McLennan,23.02,4230,0.2817383993,1191.753429039
McLennan,24.98,5372,0.2129792407,1144.1244810404
McLennan,25.01,4550,0.2433769011,1107.364900005
McLennan,25.03,5192,0.1287734933,668.5919772136
McLennan,25.04,4626,0.1151508168,532.6876785168
McLennan,26,6228,0.1384416274,862.2144554472
McLennan,27,3882,0.2754904299,1069.4538488718
McLennan,28,4163,0.1778429656,740.3602657928
McLennan,29,4666,0.1199102451,559.5012036366
McLennan,30,3965,0.2326454759,922.4393119435
McLennan,32,4568,0.2497275256,1140.7553369408
McLennan,33,1840,0.2831230582,520.946427088
McLennan,34.01,1545,0.1719774674,265.705187133
McLennan,34.02,5350,0.165918869,887.66594915
McLennan,35,4508,0.1574435419,709.7554868852
McLennan,36.01,3003,0.2072907551,622.4941375653
McLennan,36.02,2983,0.1825064949,544.4168742867
McLennan,37.01,2757,0.1591015197,438.6428898129
McLennan,37.03,6039,0.1507554532,910.4121818748
McLennan,37.08,10366,0.1439875583,1492.5750293378
McLennan,37.09,6412,0.1587516238,1017.9154118056
McLennan,37.1,5864,0.1176990836,690.1874262304
McLennan,37.11,6566,0.200967313,1319.551377158
McLennan,37.12,4125,0.1457986148,601.41928605
McLennan,38.01,6586,0.126300123,831.812610078
McLennan,38.02,6236,0.1948999069,1215.3958194284
McLennan,39.01,3714,0.149284668,554.443256952
McLennan,39.02,8158,0.1849131396,1508.5213928568
McLennan,40,5789,0.1122557819,649.8487214191
McLennan,41.02,6448,0.1088522018,701.8789972064
McLennan,41.04,4265,0.1273555953,543.1716139545
McLennan,41.05,5722,0.1474241417,843.5609388074
McLennan,42.01,3309,0.1880625625,622.2990193125
McLennan,42.02,3409,0.1472969161,502.1351869849
McLennan,43,7910,0.2390547353,1890.922956223
McLennan,9800,0,0.18232,0
Milam,9501,2340,0.1991101714,465.917801076
Milam,9503,4041,0.1557874265,629.5369904865
Milam,9504.01,3100,0.237233093,735.4225883
Milam,9504.02,3629,0.2708521108,982.9223100932
Milam,9505,3646,0.1554302142,566.6985609732
Milam,9507,5627,0.1967513268,1107.1197159036
Milam,9508,2885,0.1810731079,522.3959162915
Mills,9501,1936,0.1687077368,326.6181784448
Mills,9502,2563,0.1607878757,412.0993254191
San Saba,9501,2815,0.2031667072,571.914280768
San Saba,9502,2987,0.1737955089,519.1271850843
Travis,1.01,4707,0.124004676,583.690009932
Travis,1.02,2196,0.1014543363,222.7937225148
Travis,2.03,2948,0.2067533808,609.5089665984
Travis,2.04,2711,0.1489419268,403.7815635548
Travis,2.05,4429,0.1876568399,831.1321439171
Travis,2.06,3813,0.1860231252,709.3061763876
Travis,3.02,5585,0.2034168447,1136.0830776495
Travis,3.04,2866,0.1648920031,472.5804808846
